program	rep	depth	noReads	percMutate	targMut	lenRef	refMatch	refSnp	refIns	refDel	refNs	matches	snp	ins	del	Ns	elpTime	sysTime	UserTime	memKb	percCPU	seed	usedSeed	medakaModel	usedMedaka	usedMajCon	minLen	minDepth	fastq	schemeDir	scheme	schemeVer	prefix	conDef	conScaffoldBuilder	conStich
LiloIvar	10	30	2790	100	17	1700	1683	17	0	0	0	ERR	ERR	ERR	ERR	ERR	47.57	8.66	95.23	320704	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	100	17	1700	1683	17	0	0	0	ERR	ERR	ERR	ERR	ERR	47.57	8.66	95.23	320704	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	100	17	1700	1683	17	0	0	0	ERR	ERR	ERR	ERR	ERR	47.57	8.66	95.23	320704	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	100	17	1700	1683	17	0	0	0	ERR	ERR	ERR	ERR	ERR	47.57	8.66	95.23	320704	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	100	17	1700	1683	17	0	0	0	1700	0	0	0	30	0.09	0.00	0.16	8488	183%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	100	17	1700	1683	17	0	0	0	1700	0	0	0	413	0.09	0.02	0.14	9956	168%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	200	34	1700	1666	34	0	0	0	1700	0	0	0	127	26.51	3.18	26.04	385656	110%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	200	34	1700	1666	34	0	0	0	ERR	ERR	ERR	ERR	ERR	47.54	8.44	95.36	321824	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	200	34	1700	1666	34	0	0	0	ERR	ERR	ERR	ERR	ERR	47.54	8.44	95.36	321824	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	200	34	1700	1666	34	0	0	0	ERR	ERR	ERR	ERR	ERR	47.54	8.44	95.36	321824	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	200	34	1700	1666	34	0	0	0	ERR	ERR	ERR	ERR	ERR	47.54	8.44	95.36	321824	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	200	34	1700	1666	34	0	0	0	ERR	ERR	ERR	ERR	ERR	47.54	8.44	95.36	321824	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	200	34	1700	1666	34	0	0	0	ERR	ERR	ERR	ERR	ERR	47.54	8.44	95.36	321824	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	200	34	1700	1666	34	0	0	0	1700	0	0	0	30	0.09	0.02	0.14	8308	183%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	200	34	1700	1666	34	0	0	0	1700	0	0	0	413	0.09	0.01	0.14	8384	172%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	500	85	1700	1615	85	0	0	0	1700	0	0	0	127	26.99	3.23	26.49	385040	110%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	500	85	1700	1615	85	0	0	0	ERR	ERR	ERR	ERR	ERR	48.05	8.77	96.20	321860	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	500	85	1700	1615	85	0	0	0	ERR	ERR	ERR	ERR	ERR	48.05	8.77	96.20	321860	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	500	85	1700	1615	85	0	0	0	ERR	ERR	ERR	ERR	ERR	48.05	8.77	96.20	321860	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	500	85	1700	1615	85	0	0	0	ERR	ERR	ERR	ERR	ERR	48.05	8.77	96.20	321860	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	500	85	1700	1615	85	0	0	0	ERR	ERR	ERR	ERR	ERR	48.05	8.77	96.20	321860	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	500	85	1700	1615	85	0	0	0	ERR	ERR	ERR	ERR	ERR	48.05	8.77	96.20	321860	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	500	85	1700	1615	85	0	0	0	1700	0	0	0	30	0.08	0.02	0.14	12096	187%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	500	85	1700	1615	85	0	0	0	1700	0	0	0	413	0.09	0.01	0.15	10372	173%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	1000	170	1700	1532	166	2	2	0	1699	1	0	0	127	28.93	3.17	28.52	385120	109%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	1000	170	1700	1532	166	2	2	0	ERR	ERR	ERR	ERR	ERR	47.70	8.84	95.44	321844	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	1000	170	1700	1532	166	2	2	0	ERR	ERR	ERR	ERR	ERR	47.70	8.84	95.44	321844	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	1000	170	1700	1532	166	2	2	0	ERR	ERR	ERR	ERR	ERR	47.70	8.84	95.44	321844	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	1000	170	1700	1532	166	2	2	0	ERR	ERR	ERR	ERR	ERR	47.70	8.84	95.44	321844	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	1000	170	1700	1532	166	2	2	0	ERR	ERR	ERR	ERR	ERR	47.70	8.84	95.44	321844	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	1000	170	1700	1532	166	2	2	0	ERR	ERR	ERR	ERR	ERR	47.70	8.84	95.44	321844	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	1000	170	1700	1532	166	2	2	0	1700	0	0	0	79	0.08	0.01	0.15	8412	188%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	1000	170	1700	1532	166	2	2	0	1700	0	0	0	413	0.09	0.01	0.14	16252	175%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	0	0	5700	0	0	0	0	0	5700	0	0	0	961	51.21	3.33	50.93	387224	105%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	0	0	5700	0	0	0	0	0	ERR	ERR	ERR	ERR	ERR	50.78	9.75	103.78	321840	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	0	0	5700	0	0	0	0	0	ERR	ERR	ERR	ERR	ERR	50.78	9.75	103.78	321840	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	0	0	5700	0	0	0	0	0	ERR	ERR	ERR	ERR	ERR	50.78	9.75	103.78	321840	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	0	0	5700	0	0	0	0	0	ERR	ERR	ERR	ERR	ERR	50.78	9.75	103.78	321840	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	0	0	5700	0	0	0	0	0	ERR	ERR	ERR	ERR	ERR	50.78	9.75	103.78	321840	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	0	0	5700	0	0	0	0	0	ERR	ERR	ERR	ERR	ERR	50.78	9.75	103.78	321840	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	0	0	5700	0	0	0	0	0	5699	0	0	1	730	0.18	0.01	0.30	12184	171%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	0	0	5700	0	0	0	0	0	5699	0	0	1	1402	0.19	0.02	0.30	10516	166%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	100	57	5700	5643	57	0	0	0	5700	0	0	0	961	46.64	3.26	46.34	385972	106%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	100	57	5700	5643	57	0	0	0	ERR	ERR	ERR	ERR	ERR	50.64	9.62	103.85	321776	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	100	57	5700	5643	57	0	0	0	ERR	ERR	ERR	ERR	ERR	50.64	9.62	103.85	321776	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	100	57	5700	5643	57	0	0	0	ERR	ERR	ERR	ERR	ERR	50.64	9.62	103.85	321776	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	100	57	5700	5643	57	0	0	0	ERR	ERR	ERR	ERR	ERR	50.64	9.62	103.85	321776	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	100	57	5700	5643	57	0	0	0	ERR	ERR	ERR	ERR	ERR	50.64	9.62	103.85	321776	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	100	57	5700	5643	57	0	0	0	ERR	ERR	ERR	ERR	ERR	50.64	9.62	103.85	321776	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	100	57	5700	5643	57	0	0	0	5699	0	0	1	730	0.18	0.00	0.30	8892	171%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	100	57	5700	5643	57	0	0	0	5699	0	0	1	1402	0.19	0.01	0.31	10292	169%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	200	114	5700	5586	114	0	0	0	5699	1	0	0	961	45.46	3.39	44.98	387544	106%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	200	114	5700	5586	114	0	0	0	ERR	ERR	ERR	ERR	ERR	50.67	9.32	104.34	322000	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	200	114	5700	5586	114	0	0	0	ERR	ERR	ERR	ERR	ERR	50.67	9.32	104.34	322000	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	200	114	5700	5586	114	0	0	0	ERR	ERR	ERR	ERR	ERR	50.67	9.32	104.34	322000	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	200	114	5700	5586	114	0	0	0	ERR	ERR	ERR	ERR	ERR	50.67	9.32	104.34	322000	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	200	114	5700	5586	114	0	0	0	ERR	ERR	ERR	ERR	ERR	50.67	9.32	104.34	322000	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	200	114	5700	5586	114	0	0	0	ERR	ERR	ERR	ERR	ERR	50.67	9.32	104.34	322000	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	200	114	5700	5586	114	0	0	0	5699	0	0	1	730	0.18	0.02	0.29	8896	170%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	200	114	5700	5586	114	0	0	0	5699	0	0	1	1402	0.19	0.01	0.31	8804	169%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	500	285	5700	5415	285	0	0	0	5697	3	0	0	961	46.48	3.25	46.16	387492	106%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	500	285	5700	5415	285	0	0	0	ERR	ERR	ERR	ERR	ERR	50.86	9.74	103.98	321808	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	500	285	5700	5415	285	0	0	0	ERR	ERR	ERR	ERR	ERR	50.86	9.74	103.98	321808	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	500	285	5700	5415	285	0	0	0	ERR	ERR	ERR	ERR	ERR	50.86	9.74	103.98	321808	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	500	285	5700	5415	285	0	0	0	ERR	ERR	ERR	ERR	ERR	50.86	9.74	103.98	321808	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	500	285	5700	5415	285	0	0	0	ERR	ERR	ERR	ERR	ERR	50.86	9.74	103.98	321808	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	500	285	5700	5415	285	0	0	0	ERR	ERR	ERR	ERR	ERR	50.86	9.74	103.98	321808	223%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	500	285	5700	5415	285	0	0	0	5699	0	0	1	730	0.19	0.00	0.32	8732	169%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	500	285	5700	5415	285	0	0	0	5698	1	2	1	1397	0.20	0.01	0.32	10364	167%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	1000	570	5700	5136	560	4	4	0	5674	26	0	0	961	45.36	3.32	44.96	388048	106%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	1000	570	5700	5136	560	4	4	0	ERR	ERR	ERR	ERR	ERR	50.54	9.85	103.50	321904	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	1000	570	5700	5136	560	4	4	0	ERR	ERR	ERR	ERR	ERR	50.54	9.85	103.50	321904	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	1000	570	5700	5136	560	4	4	0	ERR	ERR	ERR	ERR	ERR	50.54	9.85	103.50	321904	224%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	10-new-bench/10-bench-artic-ivar	false	true	false
