program	rep	depth	noReads	percMutate	targMut	mutLen	refLen	refNs	refSnp	refIndel	conLen	Ns	snp	indel	elpTime	sysTime	UserTime	memKb	percCPU	seed	usedSeed	medakaModel	usedMedaka	usedMajcon	usedIvar	usedRacon	medakaPolish	ivarPolish	minLen	minDepth	fastq	schemeDir	scheme	schemeVer	prefix	conDef	conScaffoldBuilder	conStich
buildCon	10	30	2790	500	85	1700	1700	0	50	0	1328	57.2289	0	3.1323	0.85	0.19	0.91	41068	129%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	500	85	1700	1700	0	50	0	1326	67.1192	0	0.7843	0.90	0.15	1.02	41060	130%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	1000	170	1700	1700	0	0	0	1700	74.7059	0	0	28.56	3.24	28.08	384132	109%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	1000	170	1700	1700	0	0	0	1335	276.404	0	0	0.76	0.11	0.83	40816	124%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	1000	170	1700	1700	0	0	0	1335	276.404	0	0	0.82	0.12	0.89	41092	123%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	0	0	5700	5700	0	0	0	5700	168.597	0	0	47.13	3.25	46.84	387848	106%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	0	0	5700	5700	0	0	0	5621	476.784	0	0.34	1.55	0.40	1.86	41044	145%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	0	0	5700	5700	0	0	0	5616	423.433	0	0.3088	1.69	0.39	2.10	41084	147%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	100	57	5700	5700	0	10	0	5700	168.597	0	0	47.69	3.30	47.35	385648	106%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	100	57	5700	5700	0	10	0	5619	423.207	0	0.6171	1.56	0.39	1.89	41024	146%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	100	57	5700	5700	0	10	0	5618	477.038	0	0	1.67	0.43	1.99	41036	145%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	200	114	5700	5700	0	20	0	5700	168.597	0	0	47.95	3.40	47.50	387936	106%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	200	114	5700	5700	0	20	0	5616	423.433	0	0.9265	1.50	0.39	1.80	40812	145%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	200	114	5700	5700	0	20	0	5615	477.293	0	0.3407	1.63	0.36	1.99	40996	144%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	500	285	5700	5700	0	50	0	5700	168.597	0	0	46.92	3.26	46.52	385592	106%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	500	285	5700	5700	0	50	0	5620	423.488	0	0.3086	6.17	0.37	1.77	40856	34%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	500	285	5700	5700	0	50	0	5618	423.638	0	0	1.64	0.39	1.91	41016	140%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	1000	570	5700	5700	0	0	0	5700	168.597	0	0	232.72	3.45	44.83	386704	20%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	1000	570	5700	5700	0	0	0	5622	312.878	0	0.7726	1.32	0.29	1.59	40864	142%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	1000	570	5700	5700	0	0	0	5618	316.305	0	0	1.47	0.36	1.72	41048	141%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
Lilo	10	30	2790	0	0	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.59	8.95	94.91	321476	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	0	0	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.59	8.95	94.91	321476	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	0	0	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.59	8.95	94.91	321476	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	0	0	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.59	8.95	94.91	321476	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	0	0	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.59	8.95	94.91	321476	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
Lilo	10	30	2790	0	0	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.59	8.95	94.91	321476	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
ivar	10	30	2790	0	0	1700	1700	0	0	0	1700	87.6471	0	0	0.20	0.01	0.41	8208	214%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
ivarTrim	10	30	2790	0	0	1700	1700	0	0	0	1700	242.941	0	0	0.09	0.02	0.14	8564	172%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
Lilo	10	30	2790	100	17	1700	1700	0	10	0	ERR	ERR	ERR	ERR	47.76	8.63	95.62	321636	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	100	17	1700	1700	0	10	0	ERR	ERR	ERR	ERR	47.76	8.63	95.62	321636	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	100	17	1700	1700	0	10	0	ERR	ERR	ERR	ERR	47.76	8.63	95.62	321636	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	100	17	1700	1700	0	10	0	ERR	ERR	ERR	ERR	47.76	8.63	95.62	321636	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	100	17	1700	1700	0	10	0	ERR	ERR	ERR	ERR	47.76	8.63	95.62	321636	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
Lilo	10	30	2790	100	17	1700	1700	0	10	0	ERR	ERR	ERR	ERR	47.76	8.63	95.62	321636	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
ivar	10	30	2790	100	17	1700	1700	0	10	0	1700	88.2353	0	0	0.19	0.01	0.41	9516	217%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
ivarTrim	10	30	2790	100	17	1700	1700	0	10	0	1700	242.941	0	0	0.09	0.01	0.15	10432	171%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
Lilo	10	30	2790	200	34	1700	1700	0	20	0	ERR	ERR	ERR	ERR	48.11	8.64	96.56	321512	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	200	34	1700	1700	0	20	0	ERR	ERR	ERR	ERR	48.11	8.64	96.56	321512	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	200	34	1700	1700	0	20	0	ERR	ERR	ERR	ERR	48.11	8.64	96.56	321512	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	200	34	1700	1700	0	20	0	ERR	ERR	ERR	ERR	48.11	8.64	96.56	321512	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	200	34	1700	1700	0	20	0	ERR	ERR	ERR	ERR	48.11	8.64	96.56	321512	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
Lilo	10	30	2790	200	34	1700	1700	0	20	0	ERR	ERR	ERR	ERR	48.11	8.64	96.56	321512	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
ivar	10	30	2790	200	34	1700	1700	0	20	0	1700	88.2353	0	0	0.20	0.02	0.41	6540	211%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
ivarTrim	10	30	2790	200	34	1700	1700	0	20	0	1700	242.941	0	0	0.09	0.01	0.15	6716	172%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
Lilo	10	30	2790	500	85	1700	1700	0	50	0	ERR	ERR	ERR	ERR	47.90	9.18	95.56	321592	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	500	85	1700	1700	0	50	0	ERR	ERR	ERR	ERR	47.90	9.18	95.56	321592	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	500	85	1700	1700	0	50	0	ERR	ERR	ERR	ERR	47.90	9.18	95.56	321592	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	500	85	1700	1700	0	50	0	ERR	ERR	ERR	ERR	47.90	9.18	95.56	321592	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	500	85	1700	1700	0	50	0	ERR	ERR	ERR	ERR	47.90	9.18	95.56	321592	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
Lilo	10	30	2790	500	85	1700	1700	0	50	0	ERR	ERR	ERR	ERR	47.90	9.18	95.56	321592	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
ivar	10	30	2790	500	85	1700	1700	0	50	0	1700	88.8235	0	0	0.18	0.03	0.39	9552	228%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
ivarTrim	10	30	2790	500	85	1700	1700	0	50	0	1700	242.941	0	0	0.10	0.02	0.14	8344	170%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
Lilo	10	30	2790	1000	170	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.74	8.71	95.65	321660	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	1000	170	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.74	8.71	95.65	321660	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	1000	170	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.74	8.71	95.65	321660	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	1000	170	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.74	8.71	95.65	321660	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
Lilo	10	30	2790	1000	170	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.74	8.71	95.65	321660	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
Lilo	10	30	2790	1000	170	1700	1700	0	0	0	ERR	ERR	ERR	ERR	47.74	8.71	95.65	321660	218%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
ivar	10	30	2790	1000	170	1700	1700	0	0	0	1700	121.765	0	0	0.17	0.02	0.38	6464	233%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
ivarTrim	10	30	2790	1000	170	1700	1700	0	0	0	1700	242.941	0	0	0.09	0.02	0.14	10468	174%	1024	10240	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	FALSE
Lilo	10	30	2790	0	0	5700	5700	0	0	0	ERR	ERR	ERR	ERR	50.49	9.76	103.47	321812	224%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	0	0	5700	5700	0	0	0	ERR	ERR	ERR	ERR	50.49	9.76	103.47	321812	224%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
Lilo	10	30	2790	0	0	5700	5700	0	0	0	ERR	ERR	ERR	ERR	50.49	9.76	103.47	321812	224%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	TRUE	FALSE
